[header]
width=15
height=15
tilewidth=64
tileheight=64
orientation=orthogonal

[tilesets]
tileset=../Tilesets/tileset.png,64,64,0,0

[layer]
type=Tile Layer 1
data=
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,
32,99,0,0,0,0,0,0,0,0,91,91,91,91,32,
32,99,92,92,92,92,92,92,92,91,91,91,91,91,32,
32,99,36,37,37,37,37,37,37,37,37,37,37,37,32,
32,99,94,94,94,94,94,94,94,94,94,94,94,94,32,
32,99,94,94,94,94,94,94,94,94,94,94,94,94,32,
32,99,36,37,37,37,37,37,37,37,37,37,37,37,32,
32,99,94,94,94,94,94,94,94,94,94,94,94,94,32,
32,99,94,94,94,94,94,94,94,94,94,94,94,94,32,
32,99,94,94,94,94,94,94,94,94,94,94,94,94,32,
32,99,36,37,37,37,37,37,37,37,37,37,37,37,32,
32,99,0,0,0,0,0,0,0,0,0,0,0,0,32,
32,99,0,0,0,0,0,0,0,0,0,0,0,0,32,
32,99,18,0,0,0,0,0,18,0,0,0,0,100,32,
32,34,34,34,34,34,34,34,34,34,34,34,34,34,32

